"","Gene","X1_CD19_314_T_resent","X2_Y_Y_319_T_resent","X3_Y_Y_304_T_resent","X4_Y_Y_729_T_resent","X5_Y_Y_727_T_resent","X6_CD19_738_T_resent","X7_CD19_271_T_resent","X8_Y_H_305_T_resent","X9_CD19_324_T_resent","X10_hYP7_731_T_resent","X11_Y_H_314_T_resent","X12_hYP7_740_T_resent","X13_Y_H_737_T_resent","X14_hYP7_732_T_resent","X15_Y_H_730_T_resent","X16_hYP7_303_T_resent"
"1","A1BG",12145.22,131,125,157,140,6994.23,2013.96,155,16570.76,155,178,135.46,116,104.73,109,142
"2","A1BG-AS1",8,125,175,192,152,4,9,167,9,169,145,158,173,137,166,140
"3","A1CF",1027,0,0,1,0,582,381,0,2413,2,0,1,0,1,0,2
"4","A2M",18959,3,8,64,6,13572,5544,2,43701,251,32,64,1,116,1,87
"5","AAAS",472,393,379,673,545,284,126,630,692,770,774,718,642,686,628,734
"6","AACS",263,520,588,663,469,166,74,606,398,550,496,541,575,556,591,587
"7","AADAC",486,0,0,1,0,346,134,0,799,1,0,0,0,1,0,0
"8","AADAT",55,0,0,1,0,56,19,0,123,0,0,0,0,0,0,0
"9","AAGAB",293,782,851,1258,918,203,140,1140,390,1462,1296,1164,1088,1270,1056,1343
"10","AAK1",259,2847,3691,4446,3394,166,231,4388,557,3310,2726,3264,4132,3640,4366,2662
"11","AAMDC",135,85,59,72,57,51,40,124,142,103,142,74,95,90,75,107
"12","AAMP",1685,1618,1617,2231,1698,1184,425,1935,2457,2019,2170,1927,1844,1907,1911,1836
"13","AAR2",464,1021,1023,1324,951,288,155,1066,684,1207,1069,1079,1062,1105,1076,1128
"14","AARS",1612,883,942,1486,1190,1088,484,1164,2770,1524,1374,1510,1090,1432,1270,1689
"15","AARS2",292,268,258,420,308,184,93,447,484,365,356,396,413,406,437,341
"16","AARSD1",398,291.73,321.82,402.18,262.33,277.29,104,331.84,589,347.75,396,320.69,291.59,296.58,311.33,365.88
