"","Gene","X1_CD19_314_T_resent","X2_Y_Y_319_T_resent","X3_Y_Y_304_T_resent","X4_Y_Y_729_T_resent","X5_Y_Y_727_T_resent","X6_CD19_738_T_resent","X7_CD19_271_T_resent","X8_Y_H_305_T_resent","X9_CD19_324_T_resent","X10_hYP7_731_T_resent","X11_Y_H_314_T_resent","X12_hYP7_740_T_resent","X13_Y_H_737_T_resent","X14_hYP7_732_T_resent","X15_Y_H_730_T_resent","X16_hYP7_303_T_resent","gene","GroupComp","diff","lwr","upr","p_adj"
"MAP2K6.1","EIF2B3",3.26791890256383,2.53524227102598,2.4224538242741,2.70127532187092,2.8552455561286,3.09525752957407,2.43795969602259,3.25809522756795,3.0005215546194,3.48454042702146,3.88166535247668,3.24384724850488,3.24379989343746,3.34850584838923,3.16851751899147,3.3999696195336,"MAP2K6","hYP7_CAR_T-CD19",0.854109530926972,0.508795167199597,1.19942389465435,4.59867522257795e-05
"MAP2K6.2","MAP2K6",2.96608892922834,3.41091091211933,3.31763112771114,3.17681137201715,3.58426370893899,3.48638146402809,3.0599360744911,4.02488920314334,3.36568291979319,4.26480135691812,3.93532766337839,4.05635100562235,4.00776798947073,4.15082888787384,4.0277694285088,3.8712889355031,"MAP2K6","hYP7_CAR_T-Y_Y",0.701227597615501,0.355913233888127,1.04654196134288,0.000300153124893066
"MAP2K6.3","PPP2R5D",5.94305075920647,5.74829052428881,5.44319141446612,5.77541235471157,5.67932537899563,5.81366415749497,5.62792952297892,6.12381721703504,5.87265706273983,6.30062858577051,6.20629497144912,6.22331105827823,6.0588969881723,6.1580563721914,6.0830956226609,6.17444654884291,"MAP2K6","Y_H-CD19",0.770766013567461,0.37760831535712,1.1639237117778,0.000412450162597167
"MAP2K6.4","UHRF1",5.85091358695328,5.48096200271692,4.84844017620904,6.03000741235616,5.92812411003229,6.03195488150264,6.00290058401352,6.24564258845713,5.94849175309553,6.70779537780295,6.64051292099141,6.78826805329258,6.35056765101884,6.63457962098943,6.60941522018228,6.65486380115021,"MAP2K6","Y_H-Y_Y",0.617884080255991,0.224726382045649,1.01104177846633,0.00264578381577896
"MAP2K6.5","EIF2B3",3.26791890256383,2.53524227102598,2.4224538242741,2.70127532187092,2.8552455561286,3.09525752957407,2.43795969602259,3.25809522756795,3.0005215546194,3.48454042702146,3.88166535247668,3.24384724850488,3.24379989343746,3.34850584838923,3.16851751899147,3.3999696195336,"MAP2K6","Y_Y-CD19",0.15288193331147,-0.211111366071975,0.516875232694915,0.610922789809691
"MAP2K6.6","MAP2K6",2.96608892922834,3.41091091211933,3.31763112771114,3.17681137201715,3.58426370893899,3.48638146402809,3.0599360744911,4.02488920314334,3.36568291979319,4.26480135691812,3.93532766337839,4.05635100562235,4.00776798947073,4.15082888787384,4.0277694285088,3.8712889355031,"MAP2K6","hYP7_CAR_T-Y_H",0.0833435173595105,-0.292587145745336,0.459274180464357,0.910637273036505
"UHRF1.1","PPP2R5D",5.94305075920647,5.74829052428881,5.44319141446612,5.77541235471157,5.67932537899563,5.81366415749497,5.62792952297892,6.12381721703504,5.87265706273983,6.30062858577051,6.20629497144912,6.22331105827823,6.0588969881723,6.1580563721914,6.0830956226609,6.17444654884291,"UHRF1","hYP7_CAR_T-Y_Y",1.03434646300986,0.42731999459637,1.64137293142334,0.00138002280694782
"UHRF1.2","UHRF1",5.85091358695328,5.48096200271692,4.84844017620904,6.03000741235616,5.92812411003229,6.03195488150264,6.00290058401352,6.24564258845713,5.94849175309553,6.70779537780295,6.64051292099141,6.78826805329258,6.35056765101884,6.63457962098943,6.60941522018228,6.65486380115021,"UHRF1","Y_H-Y_Y",0.961615172068906,0.27048513479476,1.65274520934305,0.00658622704518996
"UHRF1.3","EIF2B3",3.26791890256383,2.53524227102598,2.4224538242741,2.70127532187092,2.8552455561286,3.09525752957407,2.43795969602259,3.25809522756795,3.0005215546194,3.48454042702146,3.88166535247668,3.24384724850488,3.24379989343746,3.34850584838923,3.16851751899147,3.3999696195336,"UHRF1","hYP7_CAR_T-CD19",0.647664686947215,0.0406382185337297,1.2546911553607,0.0354120612566848
"UHRF1.4","MAP2K6",2.96608892922834,3.41091091211933,3.31763112771114,3.17681137201715,3.58426370893899,3.48638146402809,3.0599360744911,4.02488920314334,3.36568291979319,4.26480135691812,3.93532766337839,4.05635100562235,4.00776798947073,4.15082888787384,4.0277694285088,3.8712889355031,"UHRF1","Y_H-CD19",0.574933396006266,-0.116196641267881,1.26606343328041,0.116060888606462
"UHRF1.5","PPP2R5D",5.94305075920647,5.74829052428881,5.44319141446612,5.77541235471157,5.67932537899563,5.81366415749497,5.62792952297892,6.12381721703504,5.87265706273983,6.30062858577051,6.20629497144912,6.22331105827823,6.0588969881723,6.1580563721914,6.0830956226609,6.17444654884291,"UHRF1","CD19-Y_Y",0.38668177606264,-0.253180304002317,1.0265438561276,0.32237569182724
"UHRF1.6","UHRF1",5.85091358695328,5.48096200271692,4.84844017620904,6.03000741235616,5.92812411003229,6.03195488150264,6.00290058401352,6.24564258845713,5.94849175309553,6.70779537780295,6.64051292099141,6.78826805329258,6.35056765101884,6.63457962098943,6.60941522018228,6.65486380115021,"UHRF1","hYP7_CAR_T-Y_H",0.0727312909409497,-0.588115423715375,0.733578005597274,0.987348363056969
"PPP2R5D.1","EIF2B3",3.26791890256383,2.53524227102598,2.4224538242741,2.70127532187092,2.8552455561286,3.09525752957407,2.43795969602259,3.25809522756795,3.0005215546194,3.48454042702146,3.88166535247668,3.24384724850488,3.24379989343746,3.34850584838923,3.16851751899147,3.3999696195336,"PPP2R5D","hYP7_CAR_T-Y_Y",0.534497038308086,0.308509804413075,0.760484272203096,7.13252629518379e-05
"PPP2R5D.2","MAP2K6",2.96608892922834,3.41091091211933,3.31763112771114,3.17681137201715,3.58426370893899,3.48638146402809,3.0599360744911,4.02488920314334,3.36568291979319,4.26480135691812,3.93532766337839,4.05635100562235,4.00776798947073,4.15082888787384,4.0277694285088,3.8712889355031,"PPP2R5D","Y_H-Y_Y",0.454540942645242,0.197243158261068,0.711838727029417,0.00102065026388332
"PPP2R5D.3","PPP2R5D",5.94305075920647,5.74829052428881,5.44319141446612,5.77541235471157,5.67932537899563,5.81366415749497,5.62792952297892,6.12381721703504,5.87265706273983,6.30062858577051,6.20629497144912,6.22331105827823,6.0588969881723,6.1580563721914,6.0830956226609,6.17444654884291,"PPP2R5D","hYP7_CAR_T-CD19",0.381726580818571,0.15573934692356,0.607713814713581,0.00148291742505546
"PPP2R5D.4","UHRF1",5.85091358695328,5.48096200271692,4.84844017620904,6.03000741235616,5.92812411003229,6.03195488150264,6.00290058401352,6.24564258845713,5.94849175309553,6.70779537780295,6.64051292099141,6.78826805329258,6.35056765101884,6.63457962098943,6.60941522018228,6.65486380115021,"PPP2R5D","Y_H-CD19",0.301770485155727,0.044472700771553,0.559068269539902,0.0204273541845915
"PPP2R5D.5","EIF2B3",3.26791890256383,2.53524227102598,2.4224538242741,2.70127532187092,2.8552455561286,3.09525752957407,2.43795969602259,3.25809522756795,3.0005215546194,3.48454042702146,3.88166535247668,3.24384724850488,3.24379989343746,3.34850584838923,3.16851751899147,3.3999696195336,"PPP2R5D","CD19-Y_Y",0.152770457489515,-0.0854410029202979,0.390981917899328,0.276870207970172
"PPP2R5D.6","MAP2K6",2.96608892922834,3.41091091211933,3.31763112771114,3.17681137201715,3.58426370893899,3.48638146402809,3.0599360744911,4.02488920314334,3.36568291979319,4.26480135691812,3.93532766337839,4.05635100562235,4.00776798947073,4.15082888787384,4.0277694285088,3.8712889355031,"PPP2R5D","hYP7_CAR_T-Y_H",0.0799560956628431,-0.166067642748611,0.325979834074297,0.771307859729655
"EIF2B3.1","PPP2R5D",5.94305075920647,5.74829052428881,5.44319141446612,5.77541235471157,5.67932537899563,5.81366415749497,5.62792952297892,6.12381721703504,5.87265706273983,6.30062858577051,6.20629497144912,6.22331105827823,6.0588969881723,6.1580563721914,6.0830956226609,6.17444654884291,"EIF2B3","hYP7_CAR_T-Y_Y",0.718437430878523,0.190857507011902,1.24601735474514,0.00766846725331627
